,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,positioning,vision,penalties,aggression,interceptions,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,preferred_foot_encoded,attacking_work_rate_encoded,defensive_work_rate_encoded,player_role
113279,42,43,57,67,30.0,59,54.0,38,62,65,47,64,65.0,49,60.0,48,80.0,54,59,67,36,53.0,42,81,63,62,66,63.0,10,7,8,7,15,1,1.0,1.0,3
106997,67,46,66,57,34.0,52,72.0,66,57,60,72,67,63.0,58,54.0,67,75.0,81,74,64,45,60.0,61,71,65,68,65,64.0,15,7,8,11,12,0,1.0,2.0,4
160169,24,14,13,39,22.0,15,23.0,22,39,14,59,54,62.0,75,58.0,24,71.0,43,71,23,12,46.0,15,20,22,12,15,14.0,85,79,78,81,84,1,1.0,1.0,0
118860,64,55,52,72,48.0,62,59.0,61,69,68,65,68,61.0,62,58.0,65,62.0,69,69,57,62,71.0,53,61,62,54,61,55.0,15,13,11,11,12,1,2.0,2.0,4
182255,10,11,20,24,13.0,12,13.0,12,19,21,31,31,55.0,39,51.0,15,48.0,24,62,13,13,32.0,24,14,19,13,14,11.0,48,53,53,54,56,1,1.0,1.0,4
140813,72,55,54,72,56.0,75,58.0,52,68,75,77,79,69.0,69,61.0,66,61.0,79,75,60,69,69.0,51,60,35,38,39,37.0,14,12,10,10,10,1,2.0,1.0,4
85816,75,67,56,75,60.0,76,76.0,77,64,78,82,79,77.0,74,82.0,74,65.0,82,73,68,77,70.0,63,73,62,57,65,62.0,15,7,7,10,8,1,1.0,2.0,2
152902,58,75,78,73,75.0,65,75.0,52,42,76,46,40,47.0,77,48.0,80,42.0,45,85,62,80,63.0,62,66,35,18,25,31.0,13,6,8,6,8,1,1.0,1.0,7
12378,80,71,53,75,70.0,74,86.0,83,75,78,66,67,63.0,76,65.0,83,54.0,66,71,81,75,76.0,82,60,43,28,34,33.0,6,7,9,11,7,0,1.0,1.0,5
161698,66,68,54,67,73.0,71,54.0,67,63,73,76,73,83.0,66,78.0,67,71.0,66,46,72,68,66.0,63,58,35,22,34,25.0,8,6,6,14,14,1,2.0,1.0,4
105603,74,49,66,76,45.0,77,67.0,59,68,75,75,70,73.0,75,79.0,59,52.0,73,57,53,66,64.0,51,82,75,70,79,77.0,8,8,13,8,12,0,2.0,1.0,1
86293,80,75,44,74,56.0,74,81.0,76,73,76,87,86,84.0,73,84.0,72,50.0,81,73,73,76,77.0,60,64,52,37,51,46.0,11,16,13,13,9,0,2.0,1.0,4
42368,57,63,60,61,58.0,59,58.0,56,48,61,68,71,70.0,59,62.0,64,52.0,73,49,58,62,52.0,57,53,32,22,27,30.0,14,15,8,14,13,1,1.0,1.0,4
25460,50,70,75,56,74.0,68,65.0,58,47,70,82,78,91.0,66,60.0,71,92.0,61,66,57,67,44.0,69,84,15,25,30,29.0,16,11,8,11,10,1,1.0,1.0,4
70759,84,28,63,74,28.0,69,78.0,38,68,79,77,78,78.0,78,67.0,74,82.0,79,69,39,46,64.0,23,76,80,75,78,82.0,14,9,7,9,15,1,2.0,1.0,1
130323,59,69,86,65,79.0,69,71.0,54,47,73,75,78,74.0,70,72.0,75,86.0,68,73,67,75,68.0,73,82,50,39,49,48.0,13,14,13,13,9,1,2.0,1.0,4
135751,59,45,57,60,46.0,44,59.0,50,64,61,64,67,68.0,64,57.0,59,80.0,69,74,58,48,49.0,38,74,68,74,76,72.0,8,13,14,15,8,1,0.0,1.0,4
86505,81,67,65,83,72.0,74,80.0,71,81,78,76,73,74.0,79,71.0,75,81.0,93,74,71,74,80.0,64,78,72,68,75,70.0,7,13,7,9,13,1,2.0,2.0,1
171953,68,32,51,59,34.0,68,41.0,35,55,65,79,77,62.0,64,68.0,68,65.0,79,63,51,59,39.0,50,65,65,69,69,74.0,9,13,16,14,6,1,2.0,1.0,2
97613,11,13,13,41,11.0,14,20.0,11,26,24,55,52,58.0,70,46.0,19,83.0,33,74,12,15,30.0,13,24,23,13,13,15.0,73,66,66,74,78,1,1.0,1.0,0
98985,66,41,72,73,54.0,62,62.0,69,77,74,76,76,74.0,78,74.0,80,72.0,79,69,69,54,60.0,47,85,80,80,75,80.0,12,16,14,6,12,1,1.0,2.0,1
172840,33,72,50,61,62.0,52,63.0,50,42,59,72,73,71.0,59,77.0,52,62.0,49,62,53,62,54.0,69,54,13,15,12,18.0,15,15,16,8,7,1,2.0,1.0,4
83290,12,11,12,15,13.0,15,11.0,20,26,25,49,52,47.0,67,41.0,36,64.0,30,72,11,16,38.0,15,23,22,15,11,14.0,76,74,75,74,75,1,1.0,1.0,0
149530,52,79,71,72,67.0,69,65.0,56,67,74,68,70,62.0,73,65.0,73,72.0,76,80,66,82,75.0,71,65,38,43,30,23.0,16,11,15,12,16,1,2.0,1.0,4
39796,34,63,66,65,26.0,31,37.0,75,64,55,52,34,31.0,52,65.0,70,34.0,34,92,39,24,51.0,34,74,67,71,68,65.0,14,15,13,8,12,1,1.0,1.0,1
124661,63,63,43,67,54.0,71,54.0,46,57,68,69,65,72.0,55,74.0,61,34.0,42,51,52,66,64.0,58,40,31,35,34,34.0,8,7,9,9,8,1,1.0,1.0,4
153612,67,40,62,65,39.0,73,69.0,28,46,68,88,90,85.0,67,87.0,65,90.0,73,33,46,59,56.0,31,62,69,66,59,62.0,7,15,7,9,8,1,2.0,0.0,2
101176,40,41,51,77,40.0,62,50.0,48,70,71,72,65,69.0,62,67.0,79,89.0,71,80,60,62,64.0,49,71,74,55,78,60.0,11,8,9,10,8,1,1.0,1.0,4
161564,56,46,75,69,43.0,56,36.0,39,65,67,50,63,51.0,68,46.0,61,63.0,72,85,50,44,44.0,58,78,76,78,84,77.0,10,16,12,9,14,1,2.0,1.0,1
27669,57,68,63,60,70.0,69,69.0,49,38,67,79,77,75.0,66,75.0,69,69.0,78,68,60,72,52.0,70,64,35,26,28,24.0,7,13,8,12,13,1,1.0,1.0,4
98756,54,64,44,61,59.0,59,69.0,54,49,63,74,78,71.0,73,72.0,65,58.0,61,61,61,70,70.0,74,48,28,32,26,33.0,13,6,8,15,16,1,1.0,1.0,4
108676,63,74,57,73,75.0,77,55.0,39,59,79,87,79,85.0,73,85.0,75,72.0,81,55,66,81,63.0,55,59,31,21,31,29.0,7,5,10,8,8,1,1.0,2.0,4
43220,67,83,88,66,77.0,77,75.0,82,60,80,67,66,63.0,80,59.0,86,78.0,64,86,80,83,79.0,84,79,42,22,32,29.0,10,11,8,6,14,1,1.0,0.0,5
15650,70,64,67,76,72.0,73,64.0,60,75,75,74,69,75.0,65,82.0,80,74.0,72,69,76,64,74.0,74,68,67,63,69,71.0,5,15,14,6,7,1,2.0,2.0,3
53994,63,63,64,61,56.0,63,48.0,36,58,64,65,64,64.0,62,62.0,69,71.0,70,62,62,61,66.0,59,43,18,17,23,19.0,10,11,6,13,6,1,2.0,1.0,4
92995,48,43,68,57,43.0,49,52.0,51,62,53,33,31,38.0,66,58.0,70,80.0,55,84,53,41,60.0,52,79,78,67,62,58.0,12,15,10,13,7,1,1.0,1.0,4
100997,63,57,40,59,52.0,72,65.0,43,43,65,85,87,77.0,65,84.0,64,58.0,64,59,46,63,56.0,43,44,33,26,23,28.0,15,15,6,8,15,1,1.0,1.0,4
53896,83,70,49,78,69.0,77,80.0,78,76,79,72,68,78.0,71,73.0,70,53.0,76,68,74,69,81.0,72,59,31,51,53,54.0,15,12,14,15,6,1,1.0,1.0,4
27785,59,67,59,70,52.0,80,54.0,52,71,73,83,80,81.0,65,85.0,49,50.0,69,46,62,61,67.0,54,32,21,21,20,22.0,6,6,7,8,9,1,2.0,1.0,4
67927,66,40,77,73,38.0,64,64.0,66,77,71,65,67,61.0,77,59.0,72,68.0,79,81,66,57,69.0,56,78,75,80,82,79.0,14,8,9,13,10,1,1.0,1.0,1
378,74,64,61,76,63.0,76,76.0,78,75,78,73,76,80.0,75,72.0,71,68.0,63,68,70,71,74.0,71,70,36,35,42,33.0,11,7,6,16,7,1,1.0,1.0,5
136899,30,49,71,55,52.0,56,44.0,50,48,56,65,68,69.0,65,51.0,68,61.0,65,75,43,40,50.0,57,75,71,71,69,67.0,15,13,10,11,11,1,1.0,1.0,1
158546,81,42,60,77,44.0,73,70.0,45,74,76,77,78,68.0,75,75.0,72,74.0,82,68,54,53,64.0,44,76,75,77,74,74.0,11,10,8,8,12,1,2.0,1.0,2
129499,67,49,65,80,43.0,70,69.0,48,72,78,76,74,80.0,73,83.0,62,82.0,85,75,64,55,70.0,55,79,77,78,77,75.0,14,12,9,12,15,1,1.0,2.0,1
90826,41,17,72,58,28.0,42,25.0,23,54,60,52,53,55.0,64,47.0,39,60.0,61,81,27,46,37.0,41,56,66,73,68,53.0,12,8,11,8,7,1,1.0,1.0,1
12647,68,76,60,64,73.0,80,67.0,71,50,78,78,69,78.0,78,74.0,77,67.0,73,58,75,78,59.0,79,68,19,20,20,26.0,8,14,14,7,15,1,1.0,1.0,7
44253,52,73,70,59,69.0,67,60.0,42,43,70,76,70,75.0,62,79.0,74,68.0,64,56,65,71,57.0,74,66,23,28,22,24.0,7,12,11,15,9,1,1.0,1.0,7
167080,44,74,74,58,61.0,63,44.0,44,38,67,69,74,62.0,67,50.0,73,72.0,68,72,62,76,45.0,61,67,21,19,23,17.0,10,15,15,9,14,1,1.0,1.0,7
68505,37,62,55,46,43.0,60,35.0,32,33,57,66,66,51.0,62,55.0,56,70.0,60,86,49,52,48.0,56,30,20,16,18,17.0,11,16,6,9,9,1,1.0,1.0,4
115835,67,46,62,64,35.0,60,39.0,30,62,64,78,76,77.0,64,71.0,52,79.0,76,54,52,57,53.0,42,70,65,67,66,69.0,8,6,8,11,13,1,2.0,1.0,1
73111,58,78,92,74,79.0,73,65.0,47,59,74,69,76,66.0,81,57.0,78,87.0,91,86,71,86,72.0,72,88,54,34,48,24.0,10,9,6,15,11,1,2.0,2.0,4
138668,58,27,52,65,51.0,63,39.0,54,58,65,61,62,72.0,61,71.0,55,90.0,81,32,49,34,59.0,29,76,64,61,65,55.0,10,6,15,14,10,1,1.0,1.0,4
13494,61,71,71,73,69.0,69,63.0,59,70,71,69,65,69.0,71,60.0,73,71.0,69,71,74,72,70.0,63,51,57,59,65,61.0,8,6,7,10,6,1,2.0,1.0,7
161285,54,63,44,67,44.0,69,52.0,50,57,59,82,85,74.0,53,67.0,56,42.0,56,62,56,58,50.0,66,40,28,24,33,32.0,12,10,6,10,16,0,1.0,0.0,4
17306,66,63,49,66,60.0,71,67.0,64,61,70,76,78,76.0,71,72.0,76,55.0,60,59,68,66,63.0,63,56,37,31,30,36.0,16,10,16,14,6,0,1.0,1.0,6
58854,63,39,64,70,39.0,68,57.0,48,67,69,69,68,67.0,70,67.0,60,84.0,72,75,39,68,57.0,56,74,73,77,77,72.0,15,14,13,11,6,0,1.0,1.0,1
109959,26,44,80,74,42.0,62,39.0,41,72,65,65,72,49.0,74,47.0,76,71.0,70,82,30,34,37.0,51,73,72,75,80,71.0,16,15,10,7,14,1,1.0,1.0,1
101932,51,30,48,31,31.0,59,29.0,30,25,38,66,63,55.0,55,75.0,30,57.0,59,46,24,49,36.0,40,54,50,46,53,53.0,14,12,8,5,6,0,1.0,1.0,4
167143,61,55,47,67,38.0,59,59.0,63,66,66,66,68,69.0,60,65.0,65,65.0,81,60,68,70,59.0,52,55,35,45,49,37.0,6,10,9,14,6,0,1.0,1.0,4
140351,27,26,69,55,25.0,39,45.0,30,61,47,46,53,39.0,62,38.0,44,71.0,70,92,24,26,32.0,20,80,69,69,71,63.0,8,13,16,13,8,1,1.0,1.0,1
134441,49,79,74,61,70.0,80,64.0,53,47,76,80,81,75.0,78,69.0,73,80.0,70,81,62,84,60.0,63,66,30,31,45,41.0,9,11,13,16,8,1,1.0,1.0,7
19850,45,62,68,73,58.0,71,63.0,52,67,75,66,65,64.0,72,70.0,73,76.0,84,74,74,65,73.0,56,67,65,67,70,67.0,16,11,13,12,16,1,1.0,1.0,1
71860,69,74,49,74,69.0,82,75.0,64,70,82,79,77,84.0,78,84.0,80,50.0,78,62,75,77,76.0,69,66,50,40,46,33.0,14,13,7,7,15,1,2.0,0.0,4
104336,46,46,69,67,53.0,57,49.0,41,63,63,59,52,51.0,62,53.0,69,53.0,81,82,69,53,50.0,46,76,70,62,67,65.0,10,10,13,8,10,1,1.0,1.0,3
146077,11,11,16,19,11.0,14,13.0,11,18,20,36,37,43.0,69,31.0,24,65.0,27,74,13,10,25.0,23,28,14,14,13,14.0,74,65,59,65,75,1,1.0,1.0,0
110611,62,55,57,66,44.0,67,63.0,57,55,66,67,69,60.0,59,81.0,63,60.0,65,56,56,59,58.0,51,54,44,56,41,44.0,7,8,7,8,11,1,1.0,1.0,4
154789,70,64,55,81,64.0,71,70.0,66,77,74,68,71,74.0,72,77.0,72,48.0,82,58,71,74,76.0,69,76,68,69,73,69.0,7,10,10,16,14,1,2.0,1.0,2
146106,38,38,71,61,35.0,48,42.0,24,62,61,59,59,56.0,70,56.0,36,82.0,51,75,35,36,41.0,46,65,73,72,77,78.0,11,8,8,8,15,1,1.0,1.0,1
48150,60,51,45,68,59.0,60,61.0,56,65,66,70,63,67.0,71,70.0,63,82.0,80,69,55,61,57.0,64,82,82,73,74,70.0,8,10,12,8,16,1,1.0,2.0,3
163480,50,44,85,65,48.0,58,38.0,35,64,59,72,77,64.0,78,67.0,79,84.0,74,86,49,51,57.0,51,88,78,88,88,89.0,6,8,5,12,5,1,1.0,1.0,1
85765,61,78,61,65,75.0,71,67.0,48,58,73,83,78,75.0,74,77.0,78,58.0,67,74,74,75,62.0,72,68,33,20,35,23.0,12,14,10,7,10,1,1.0,1.0,7
115618,8,29,12,12,13.0,13,14.0,13,11,23,53,48,50.0,73,51.0,15,70.0,33,66,16,15,26.0,14,24,24,13,14,14.0,72,67,67,71,72,1,1.0,1.0,0
65285,33,72,68,53,70.0,76,67.0,48,42,74,70,74,76.0,70,61.0,76,66.0,64,78,70,70,65.0,73,78,30,15,30,23.0,9,8,14,12,7,1,1.0,1.0,4
65319,37,28,64,47,31.0,40,36.0,36,44,41,62,64,57.0,56,57.0,48,79.0,58,71,29,30,34.0,48,59,62,68,74,68.0,10,14,10,8,13,1,1.0,1.0,1
105288,75,51,53,69,47.0,69,72.0,76,66,74,73,76,67.0,66,76.0,84,64.0,74,58,76,68,59.0,46,74,68,67,73,72.0,8,13,12,9,8,0,2.0,1.0,2
89502,59,71,43,74,40.0,74,64.0,69,71,78,73,69,77.0,67,70.0,68,59.0,65,58,69,63,66.0,57,49,29,14,26,16.0,14,14,13,6,8,0,2.0,0.0,4
176643,65,22,60,63,38.0,60,59.0,40,60,64,78,76,74.0,73,78.0,47,76.0,79,68,39,42,38.0,41,74,72,71,74,75.0,9,11,12,14,12,1,1.0,1.0,2
10802,79,74,70,74,76.0,84,82.0,55,64,80,90,91,86.0,80,77.0,80,74.0,72,70,77,80,77.0,68,47,25,19,31,25.0,11,14,13,12,7,1,2.0,1.0,4
9465,74,51,66,76,69.0,71,73.0,69,74,74,75,74,72.0,75,70.0,74,72.0,75,68,72,73,69.0,65,83,79,71,77,79.0,8,8,6,12,15,1,1.0,2.0,1
54889,50,51,63,75,58.0,67,65.0,62,69,71,66,65,67.0,70,68.0,70,71.0,72,71,66,59,64.0,57,77,72,71,72,68.0,10,8,11,15,13,1,1.0,1.0,1
34582,54,56,78,72,38.0,55,52.0,68,69,69,65,67,55.0,74,47.0,81,66.0,63,76,67,42,65.0,65,77,77,77,78,79.0,13,9,13,14,13,0,1.0,1.0,1
34919,73,60,56,66,69.0,73,72.0,67,62,70,82,75,81.0,71,76.0,75,61.0,75,62,71,69,66.0,65,60,43,40,47,45.0,16,7,11,8,11,1,2.0,2.0,4
151025,56,70,59,54,82.0,66,59.0,49,46,74,84,78,89.0,68,75.0,81,86.0,70,72,58,72,60.0,60,74,26,16,15,11.0,9,15,6,8,9,1,2.0,1.0,4
24817,58,63,42,70,48.0,70,59.0,45,62,68,70,65,68.0,61,72.0,64,53.0,66,56,68,64,65.0,58,59,23,40,41,44.0,15,10,8,8,13,0,2.0,2.0,4
101082,56,52,40,64,54.0,74,66.0,71,62,73,77,76,79.0,60,93.0,62,63.0,66,53,55,65,63.0,47,55,48,33,32,33.0,7,9,13,14,15,1,1.0,1.0,4
146495,48,36,79,60,44.0,25,34.0,65,53,60,58,55,56.0,61,65.0,72,78.0,72,78,41,39,46.0,46,85,70,74,78,77.0,10,16,9,12,10,1,,,1
167421,75,59,43,70,53.0,74,66.0,47,59,73,84,87,81.0,66,83.0,62,75.0,68,66,46,65,62.0,56,51,20,27,28,25.0,15,16,13,11,7,1,1.0,1.0,6
87602,42,37,71,61,47.0,50,43.0,45,62,53,33,33,32.0,71,57.0,59,61.0,32,82,51,37,52.0,48,80,75,73,71,70.0,11,7,6,12,9,0,1.0,1.0,1
115879,38,72,70,51,62.0,63,44.0,45,42,60,77,74,84.0,65,76.0,66,85.0,64,77,63,63,41.0,53,77,22,31,38,35.0,16,9,10,11,10,1,2.0,1.0,4
125042,70,69,40,69,55.0,78,53.0,66,63,72,92,90,75.0,75,71.0,63,51.0,68,58,63,60,50.0,31,48,40,28,47,44.0,14,10,12,8,9,0,1.0,1.0,6
176351,11,10,13,24,10.0,13,11.0,13,28,21,53,43,55.0,67,31.0,23,75.0,20,59,16,11,23.0,23,25,21,14,10,11.0,73,69,60,73,77,1,1.0,1.0,0
97695,61,62,31,62,51.0,64,62.0,56,51,62,80,83,76.0,62,76.0,54,52.0,61,37,56,68,59.0,56,34,28,19,25,34.0,13,10,14,9,15,1,1.0,1.0,4
140977,74,73,33,74,68.0,81,75.0,69,66,75,86,84,88.0,67,76.0,73,33.0,65,52,69,80,70.0,48,57,23,22,27,32.0,11,14,10,10,12,0,2.0,1.0,6
70528,52,33,69,63,52.0,61,54.0,48,61,65,64,69,61.0,63,59.0,61,62.0,72,67,54,59,61.0,57,59,59,47,59,43.0,7,8,14,15,13,0,1.0,1.0,4
151479,60,62,70,70,59.0,68,67.0,58,70,70,73,69,74.0,73,85.0,81,77.0,86,69,69,65,69.0,60,76,70,69,67,70.0,15,10,7,10,7,0,2.0,2.0,1
